customer_id,name,dob,phone,address
cus18157000,Opung Haryanto,1/8/1989,(0292) 524-9162,"Gg. Sadang Serang No. 2
Solok, SG 02916"
cus75285753,Dr. Balijan Novitasari,1/2/1984,+62 (056) 690-1469,"Gang Rajiman No. 23
Palangkaraya, ST 59651"
cus27353189,Latif Iswahyudi,10/23/1990,084 288 1589,"Jl. Gedebage Selatan No. 2
Mojokerto, AC 40154"
cus73711407,Harja Budiman,11/24/1986,080 642 3554,"Jl. Yos Sudarso No. 52
Lhokseumawe, Sulawesi Selatan 63928"
cus99243432,"Cut Puti Nasyiah, S.Kom",3/27/1980,821100616,"Gang Cihampelas No. 26
Bitung, GO 92599"
cus38181566,Dt. Jaya Hasanah,3/25/1986,+62 (038) 481-7684,"Jl. Pasirkoja No. 1
Yogyakarta, Kepulauan Riau 95121"
cus31739986,"R. Mala Oktaviani, S.IP",8/23/1997,(0665) 805-1714,"Jl. Dr. Djunjunan No. 55
Lhokseumawe, ST 78928"
cus30446847,Juli Yuniar,8/17/1980,(089) 493-9658,"Gang Monginsidi No. 09
Pasuruan, BE 84798"
cus13766917,Novi Kusmawati,2/3/2000,+62 (758) 104 6091,"Jl. Suryakencana No. 49
Kota Administrasi Jakarta Selatan, MU 34222"
cus05122714,Oliva Dabukke,2/11/1990,(012) 481-8415,"Jl. Asia Afrika No. 303
Kota Administrasi Jakarta Barat, SU 09305"
cus31555890,Sakti Laksita,1/14/1983,+62 (69) 788-3346,"Jl. Surapati No. 97
Langsa, JT 70102"
cus45618093,Respati Susanti,3/27/1981,+62 (097) 306-3008,"Jalan Cikutra Timur No. 416
Gorontalo, Sulawesi Tenggara 53701"
cus34949733,Nadia Sihombing,12/16/2000,+62 (0063) 974-3441,"Gg. Cempaka No. 6
Tomohon, SG 23818"
cus19023908,Simon Waskita,6/20/1992,+62 (16) 212 6416,"Jl. Cikutra Barat No. 39
Tasikmalaya, Maluku Utara 14558"
cus99573775,"Hj. Vicky Marbun, S.Psi",10/12/1993,+62 (023) 434-5999,"Jl. Setiabudhi No. 21
Surakarta, SU 91549"
cus09455276,drg. Laila Mayasari,5/25/1980,834655027,"Gang Sukabumi No. 13
Subulussalam, AC 69045"
cus25609936,KH. Usman Hakim,12/12/1997,+62 (63) 045-6856,"Gang PHH. Mustofa No. 478
Bogor, DI Yogyakarta 22759"
cus24804837,Maimunah Wasita,12/30/1989,(0315) 746-6311,"Jl. Jend. Sudirman No. 14
Sibolga, Kepulauan Bangka Belitung 59509"
cus58430385,Janet Irawan,11/3/1994,-2633,"Jalan M.T Haryono No. 985
Lhokseumawe, Sulawesi Utara 87864"
cus41385593,Gilda Irawan,8/15/1988,+62 (96) 985 4151,"Gg. Ir. H. Djuanda No. 98
Kota Administrasi Jakarta Timur, Kalimantan Selatan 05822"
cus83007941,Karen Saputra,8/2/1988,+62 (0421) 881-0011,"Gg. Gardujati No. 0
Banjarbaru, KI 94963"
cus14953965,Belinda Adriansyah,1/16/1996,+62 (015) 705 0984,"Gg. Dipenogoro No. 48
Samarinda, Sumatera Selatan 65555"
cus84489661,Dimaz Sirait,1/18/1995,-1349,"Jl. Abdul Muis No. 511
Ambon, Nusa Tenggara Barat 13241"
