patient_id,name,dob,phone,address
pat49667790,"Tgk. Wulan Adriansyah, S.E.I",5/4/1983,-412,"Jl. Kutai No. 5
Bekasi, Jawa Tengah 80987"
pat23488397,Icha Mandala,8/22/1981,(060) 882 6712,"Jalan Rajawali Barat No. 236
Surabaya, Sumatera Barat 19690"
pat83106095,"R. Eka Budiman, M.Ak",7/4/1990,(094) 052 5350,"Jalan Yos Sudarso No. 8
Kota Administrasi Jakarta Selatan, KS 34137"
pat73076063,Bakijan Simbolon,12/8/1995,-7441,"Gang Soekarno Hatta No. 74
Sungai Penuh, KR 86839"
pat35181187,dr. Ulva Sirait,6/7/1988,-5673,"Jalan Soekarno Hatta No. 18
Cimahi, Maluku 78873"
pat61414860,Jumadi Putra,5/24/1997,088 044 1457,"Jalan Antapani Lama No. 324
Cilegon, Nusa Tenggara Timur 05879"
pat92335714,"Tgk. Malik Pradana, S.H.",12/16/1998,-2828,"Gang PHH. Mustofa No. 66
Bontang, Bengkulu 78646"
pat51023249,Surya Irawan,6/26/1984,+62 (065) 875-0381,"Jalan Pasirkoja No. 026
Kota Administrasi Jakarta Pusat, ST 39274"
pat55937917,Fathonah Sihombing,8/15/1993,+62 (950) 529-9968,"Jl. Lembong No. 647
Tarakan, JI 24887"
pat65559574,"Usyi Budiyanto, S.Gz",3/11/1992,+62 (0171) 877-5261,"Gang Peta No. 55
Tebingtinggi, SU 56607"
pat07242793,"Tri Fujiati, S.IP",12/27/1983,-4711,"Gg. Ir. H. Djuanda No. 9
Banjarbaru, Sumatera Utara 81716"
pat15930040,Gabriella Jailani,5/21/1986,-3030,"Jl. Gegerkalong Hilir No. 41
Padangpanjang, KT 66712"
pat77098528,"R.M. Hasta Maryati, S.IP",4/3/1996,(0593) 289 8569,"Gang Jamika No. 7
Salatiga, Kepulauan Riau 64873"
pat26143446,Ani Gunarto,7/9/1980,884467965,"Gg. Siliwangi No. 1
Balikpapan, Sulawesi Tenggara 46382"
